Season,AL,NL
1973.0,129.69230769230768,130.3846153846154
1974.0,113.76923076923076,107.6923076923077
1975.0,119.15384615384616,106.07692307692308
1976.0,91.3846153846154,92.3846153846154
1977.0,141.8,135.07692307692307
1978.0,116.66666666666669,111.46153846153848
1979.0,137.0,124.0
1980.0,127.93333333333334,111.23076923076924
1981.0,73.8,62.69230769230769
1982.0,143.6,116.53846153846152
1983.0,133.33333333333334,117.6923076923077
1984.0,137.26666666666668,105.6923076923077
1985.0,153.26666666666668,117.3076923076923
1986.0,161.0,126.92307692307692
1987.0,183.7333333333333,152.84615384615384
1988.0,133.13333333333333,107.07692307692308
1989.0,121.0,114.6923076923077
1990.0,126.0,126.84615384615384
1991.0,135.46666666666667,118.92307692307692
1992.0,124.8,103.3846153846154
1993.0,147.46666666666667,138.73333333333332
1994.0,126.26666666666668,108.73333333333332
1995.0,151.53333333333333,136.33333333333334
1996.0,191.4,159.86666666666667
1997.0,174.0,153.2
1998.0,176.0625,160.3125
1999.0,185.5,180.8125
2000.0,194.625,187.8125
2001.0,182.6875,184.5
2002.0,173.125,162.1875
2003.0,180.375,169.25
2004.0,182.9375,177.875
2005.0,173.3125,161.25
2006.0,181.25,177.5
2007.0,165.625,169.0625
2008.0,164.6875,163.0
2009.0,180.25,155.125
2010.0,156.1875,150.25
2011.0,159.4375,142.5625
2012.0,178.0,152.125
2013.0,166.3125,144.0625
2014.0,144.4375,136.75
2015.0,173.6875,156.5625
2016.0,196.6875,178.4375
2017.0,212.125,198.3125
2018.0,194.875,180.625
2019.0,233.0,224.125
2020.0,76.125,76.875
2021.0,203.3125,194.125
2022.0,173.5,179.5
2023.0,193.125,197.8125
2024.0,180.6875,183.0625
