teamIDfg,Season,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
15,1998,ARI,27,2067,5491,6116,1353,913,235,46,159,665,621,489,32,1239,64,27,45,125,73,38,0.246,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.08,0.203,0.39,0.314,0.393,0.707,0.146,0.29,nan,nan,nan,nan,nan,nan,nan,nan,0.311,-104.4,653,-138.7,18.0,189.6,36.3,106.4,10.4,nan,4.6,82,-10.84,-110.85,100.01,-84.59,-8.8,1.0,1.38,248,-6.61,-4.22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,54.3,-2.0,nan,22 - 35,-140.7,3.2,nan,nan,nan,nan,nan,nan,nan,0.309,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,92,89,123,92,93,94,96,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,10.4
15,1999,ARI,29,2100,5658,6415,1566,1015,289,46,216,908,865,588,52,1045,48,60,61,94,137,39,0.277,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.092,0.163,0.56,0.347,0.459,0.805,0.182,0.303,nan,nan,nan,nan,nan,nan,nan,nan,0.348,36.6,872,-17.2,39.0,206.4,45.6,289.9,27.3,nan,5.4,98,11.34,-109.9,121.24,124.22,12.1,0.98,1.32,216,8.74,2.78,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,84.6,9.9,nan,20 - 37,-7.3,6.2,nan,nan,nan,nan,nan,nan,nan,0.28800000000000003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100,93,102,99,103,108,99,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,27.3
15,2000,ARI,30,2103,5527,6241,1466,961,282,44,179,792,756,535,37,975,59,58,61,114,97,44,0.265,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.086,0.156,0.55,0.333,0.429,0.763,0.164,0.29,nan,nan,nan,nan,nan,nan,nan,nan,0.332,-54.0,765,-102.6,15.0,201.8,44.2,167.4,15.6,nan,4.8,88,-0.44,-108.92,108.48,3.47,0.09,0.99,1.21,248,-0.62,0.17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,59.2,-0.1,nan,21 - 40,-102.7,9.2,nan,nan,nan,nan,nan,nan,nan,0.271,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,97,86,96,95,96,95,97,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,15.6
15,2001,ARI,29,2180,5595,6349,1494,967,284,35,208,818,776,587,73,1052,57,36,71,105,71,38,0.267,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.092,0.166,0.56,0.341,0.442,0.783,0.175,0.294,nan,nan,nan,nan,nan,nan,nan,nan,0.336,41.9,830,-28.8,50.0,198.0,38.6,265.2,26.0,nan,4.4,97,-2.15,-111.72,109.57,37.53,3.41,0.99,1.43,314,3.47,-5.65,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,88.6,-2.6,nan,22 - 41,-31.4,10.0,nan,nan,nan,nan,nan,nan,nan,0.29100000000000004,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,99,103,97,100,100,102,98,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,26.0
15,2002,ARI,31,2331,5508,6318,1471,982,283,41,165,819,783,643,58,1016,50,53,62,130,92,46,0.267,2023,1486,971,185,24159,9505,14654,137,127,31,0.102,0.161,0.63,0.346,0.423,0.769,0.156,0.298,1.36,0.217,0.452,0.332,0.124,0.111,0.068,0.244,0.335,45.8,804,-22.8,1.3,192.5,37.3,223.0,22.3,$87.0,4.7,97,5.28,-107.22,112.5,76.37,6.98,1.0,1.29,295,6.63,-1.33,0.6509999999999999,89.5,0.133,81.5,nan,nan,0.10800000000000001,75.9,0.09,80.3,0.012,79.9,0.006,68.5,0.069,nan,68.5,-24.6,nan,-6.2,6.9,-7.0,-0.6,0.47,-0.82,nan,-0.26,0.34,-2.48,-0.49,0.156,0.6759999999999999,0.43700000000000006,0.466,0.863,0.7979999999999999,0.54,0.552,0.08800000000000001,1.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.6,-1.3,0.7,22 - 42,-21.0,12.9,2.4,0.419,0.301,0.28,0.153,0.63,0.217,0.289,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100,109,98,102,100,99,101,1.02,103,95,102,98,103,100,103,100,97,nan,nan,nan,nan,nan,nan,nan,0,0.172,0.26,nan,nan,nan,22.3
15,2003,ARI,30,2319,5570,6261,1467,965,303,47,152,717,696,531,63,1006,45,52,63,126,76,38,0.263,2057,1453,1045,191,23006,8630,14376,113,124,26,0.085,0.161,0.53,0.33,0.417,0.746,0.153,0.295,1.42,0.22899999999999998,0.452,0.319,0.131,0.105,0.055,0.21,0.323,-31.5,736,-109.1,-42.5,193.4,35.6,78.6,7.7,$33.3,4.6,86,-11.7,-122.99,111.29,-69.97,-6.96,1.08,1.45,266,-5.15,-5.67,0.6459999999999999,89.5,0.121,80.9,nan,nan,0.087,75.4,0.13,80.4,0.017,81.9,nan,nan,0.048,nan,56.2,-16.4,nan,-30.5,-15.4,-7.7,nan,0.4,-0.62,nan,-1.61,-0.54,-2.11,nan,0.22399999999999998,0.6809999999999999,0.45799999999999996,0.534,0.8809999999999999,0.7979999999999999,0.511,0.568,0.092,-10.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-6.9,-2.0,-7.4,20 - 39,-119.9,12.1,-1.4,0.436,0.284,0.28,0.17300000000000001,0.6,0.228,0.27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,98,94,100,97,97,94,99,1.03,103,94,90,99,103,98,110,99,95,nan,nan,nan,nan,nan,nan,nan,0,0.17300000000000001,0.265,nan,nan,nan,7.7
15,2004,ARI,29,2295,5544,6114,1401,933,295,38,135,615,582,441,38,1022,35,37,56,137,53,32,0.253,2016,1556,923,195,22502,8051,14451,110,119,24,0.07200000000000001,0.16699999999999998,0.43,0.31,0.393,0.703,0.14,0.286,1.3,0.205,0.44799999999999995,0.34600000000000003,0.125,0.087,0.055,0.20199999999999999,0.305,-132.3,626,-204.5,-33.7,189.7,36.0,-3.7,-0.4,($1.5),3.9,74,-18.77,-120.03,101.26,-189.46,-18.14,1.05,1.33,242,-16.72,-1.23,0.647,90.2,0.126,82.7,0.008,85.4,0.08800000000000001,75.6,0.11599999999999999,81.8,0.015,82.1,nan,nan,0.091,0.002,-100.2,-2.8,-4.7,-9.0,-21.1,-8.0,nan,-0.76,-0.11,-2.88,-0.5,-0.89,-2.67,nan,0.233,0.6709999999999999,0.461,0.622,0.866,0.8059999999999999,0.52,0.583,0.08900000000000001,-7.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.3,-4.5,4.9,21 - 41,-212.2,16.4,-8.1,0.406,0.306,0.287,0.157,0.59,0.253,0.261,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,94,80,102,91,90,84,96,1.0,102,97,75,95,105,103,111,100,93,nan,nan,nan,nan,nan,nan,nan,0,0.18,0.26899999999999996,nan,nan,nan,-0.4
15,2005,ARI,29,2370,5550,6327,1419,910,291,27,191,696,670,606,51,1094,55,45,71,132,67,26,0.256,2020,1529,896,164,24229,9281,14948,104,127,27,0.096,0.17300000000000001,0.55,0.332,0.421,0.754,0.165,0.285,1.32,0.20199999999999999,0.45399999999999996,0.344,0.107,0.125,0.051,0.213,0.328,2.4,761,-72.5,-45.0,193.1,34.3,124.1,12.4,$58.5,3.9,91,-7.05,-115.28,108.23,-78.17,-7.6,1.01,1.28,310,-3.09,-3.88,0.634,89.9,0.146,82.2,0.023,86.0,0.075,75.7,0.11199999999999999,80.9,0.01,84.9,nan,nan,0.053,0.001,30.1,-11.3,4.3,-7.5,-10.6,-1.1,nan,0.21,-0.34,0.81,-0.43,-0.41,-0.46,nan,0.2,0.6579999999999999,0.439,0.5379999999999999,0.8690000000000001,0.797,0.521,0.574,0.08800000000000001,1.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-10.7,0.3,3.8,22 - 39,-71.2,12.9,-2.8,0.441,0.313,0.24600000000000002,0.15,0.574,0.276,0.299,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,95,109,107,98,98,104,95,0.94,104,98,116,103,103,92,95,103,97,nan,nan,nan,nan,nan,nan,nan,0,0.177,0.266,nan,nan,nan,12.4
15,2006,ARI,29,2282,5645,6330,1506,977,331,38,160,773,743,504,47,965,67,53,61,136,76,30,0.267,2073,1718,899,214,23412,8841,14571,113,103,15,0.08,0.152,0.52,0.331,0.424,0.755,0.157,0.294,1.21,0.192,0.442,0.366,0.125,0.09300000000000001,0.055,0.146,0.326,-36.5,758,-105.7,-28.7,198.8,40.9,111.8,10.8,$51.8,4.6,87,-9.89,-117.14,107.25,-55.87,-5.37,1.01,1.21,275,-5.88,-3.92,0.632,89.9,0.131,82.0,0.028999999999999998,85.6,0.09300000000000001,74.3,0.10400000000000001,81.3,0.009000000000000001,84.1,0.001,66.7,0.022000000000000002,0.001,7.6,-21.7,7.4,-6.9,-8.5,-0.8,2.4,0.05,-0.72,1.1,-0.32,-0.36,-0.37,9.92,0.226,0.6509999999999999,0.446,0.627,0.9009999999999999,0.8340000000000001,0.517,0.578,0.073,-6.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.3,-0.1,-3.9,22 - 43,-112.3,13.1,-2.6,0.40700000000000003,0.34299999999999997,0.25,0.125,0.606,0.26899999999999996,0.257,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,98,90,93,97,96,93,97,0.97,103,98,84,100,101,99,113,99,98,nan,nan,nan,nan,nan,nan,nan,0,0.175,0.248,nan,nan,nan,10.8
15,2007,ARI,28,2305,5398,6101,1350,853,286,40,171,712,687,532,38,1111,57,58,55,121,109,24,0.25,1778,1771,759,224,23193,8867,14326,114,92,14,0.087,0.182,0.48,0.321,0.413,0.734,0.163,0.282,1.0,0.17600000000000002,0.413,0.41100000000000003,0.126,0.09699999999999999,0.064,0.152,0.32,-62.1,692,-141.7,-4.2,189.1,38.3,102.6,10.0,$56.1,5.1,82,-5.35,-108.7,103.35,-87.35,-8.17,0.98,1.28,240,-8.06,2.58,0.616,90.2,0.146,82.7,0.025,85.9,0.09300000000000001,74.6,0.11199999999999999,81.3,0.008,83.7,nan,nan,0.026000000000000002,0.001,19.1,-42.7,2.3,-7.2,-30.8,1.9,nan,0.14,-1.3,0.42,-0.34,-1.22,1.01,nan,0.22,0.6579999999999999,0.445,0.579,0.87,0.8,0.512,0.584,0.08800000000000001,8.8,0.584,nan,0.015,0.003,nan,0.022000000000000002,0.14800000000000002,0.099,nan,nan,0.129,nan,nan,nan,90.7,nan,85.9,83.4,nan,88.8,83.7,74.3,nan,nan,81.2,nan,nan,-3.2,nan,-1.8,-8.8,nan,-12.0,0.7,1.0,nan,nan,-2.8,nan,nan,9.3,nan,7.5,3.5,nan,7.7,3.3,-5.2,nan,nan,5.5,nan,nan,8.4,nan,-0.7,2.6,nan,-0.5,-18.0,-4.7,nan,nan,-7.1,nan,nan,0.16,nan,-0.5,8.27,nan,-0.25,-1.32,-0.51,nan,nan,-0.6,nan,nan,0.261,0.617,0.441,0.65,0.845,0.7879999999999999,0.506,nan,34.1,6.9,1.4,19 - 43,-132.9,12.4,0.5,0.41600000000000004,0.335,0.249,0.196,0.478,0.325,0.297,0.037000000000000005,0.0,0.035,0.147,0.018000000000000002,0.009000000000000001,0.0,nan,0.079,0.055999999999999994,0.002,80.9,66.6,75.0,91.2,86.4,84.4,0.0,nan,89.6,83.3,4.2,-0.3,8.5,2.4,-1.3,1.2,-2.6,0.0,nan,-3.5,2.2,0.0,3.6,-15.9,-7.9,8.4,3.7,2.5,0.0,nan,4.2,0.6,0.4,-3.0,-0.1,-1.5,-0.8,-7.9,4.0,-0.2,nan,12.2,-20.2,0.0,-0.36,-3.48,-0.19,-0.02,-1.86,2.02,-22.04,nan,0.66,-1.56,-0.11,0.262,0.616,0.441,0.636,0.85,0.787,0.507,nan,nan,92,99,111,94,95,100,93,0.93,97,106,96,102,99,97,109,97,100,nan,nan,0,nan,nan,0,nan,0,0.172,0.26,nan,nan,nan,10.0
